WO#,Full Asset Number,Asset Number,Asset Description,Owning Department Code,Description,Description_google_translated,Created By,Creation Date,Scheduled Start Date,Scheduled Completion Date,Operation Seq Num,Operation Start Date,Department Code,Description,Resource Seq Num,Resource,Est Hours,Assigned Units SUM,Completed Hours,Quantity Open,Date Completed,Actual Start Date,Last Update Date,User Name,WO Status,Work Order Status,Priority Disp,Plan Maintenance,Work Order Type Disp,Shutdown Type Disp,Activity,ACTIVITY TYPE,Activity Source Meaning,Activity Cause Disp,Tagout Required,Attribute2,Requirement Code,Parent Work Order,Child Work Order,Relationship Type,Relationship Status Code,Creation Date,Completion Comments,Comments Continued1,Comments Continued2
3022057,PV1-1123-TRH0403-IMP-BED,403,BED IMPLEMENTS SYSTEM HAULTRUCK CATERPILLAR 789C 403,MM3,INSTALAR BASE PARA EL CABLE DE LA TOLVA,INSTALL BASE FOR THE HOPPER CABLE,37470,16-Jan-16,16-Jan-16,16-Jan-16,10,1/16/2016 12:36,MM7,INSTALAR BASE PARA EL CABLE DE LA TOLVA,10,MMWELD,2,2,2,NULL,16-Jan-16,16-Jan-16,01-Feb-16,EDMENA,Closed,Closed,1 - Due less than 7 days,N,CM - Corrective,Required,NULL,MO-Modify,Production,Normal,Y,NULL,REVIEW,NULL,NULL,NULL,NULL,NULL,fijar base porta cable de la  tolva,NULL,NULL
3022107,PV1-1123-TRH0403,403,HAULTRUCK CATERPILLAR 789C 403,MM3,instalar base de soporte al fender izquierdo,Install support base to left fender,28726,16-Jan-16,04-Jun-16,04-Jun-16,20,06-04-16 8:00,MM3,instalar base de soporte al fender izquierdo,20,MMTECH,4,1,4,NULL,12-Apr-16,12-Apr-16,14-Jul-16,ERNESTOPEREZ,Closed,Closed,3 - Due less than 30 days,Y,PM - Preventative,Required,NULL,MO-Modify,Production,Normal,Y,NULL,REVIEW,NULL,NULL,NULL,NULL,NULL,realizado (sin documentos autorizado por supervisor completar),NULL,NULL
3026600,PV1-1123-TRH0403-ACS,403,AIR CONDITIONING SYSTEM HAULTRUCK CATERPILLAR 789C 403,MM3,INSPECCION A/C EN INSP. 250 HRS,INSPECTION A / C IN INSP.†250 HRS,30796,20-Jan-16,26-Jan-16,26-Jan-16,10,1/26/2016 15:00,MM12,INSPECCION DE A/C EN PM 250 HRS,10,MMTEDI,1,1,2,-0.5,26-Jan-16,26-Jan-16,09-Feb-16,ERNESTOPEREZ,Closed,Closed,3 - Due less than 30 days,N,PM - Preventative,Required,NULL,IN-Inspection,Production,Normal,N,NULL,REVIEW,NULL,NULL,NULL,NULL,NULL,INSPECCION SEGUN CHECK LIST.,NULL,NULL
3026703,PV1-1123-TRH0403-FIRE,403,FIRE SUPRESSION SYSTEM HAULTRUCK CATERPILLAR 789C 403,MM3,INSPECCION SISTEMA CONTRA INCENDIO AFEX ( PM 250 HRS),AFEX FIRE SYSTEM INSPECTION (PM 250 HRS),30796,20-Jan-16,26-Jan-16,26-Jan-16,10,1/26/2016 14:00,MM12,INSPECCION SISTEMA CONTRA INCENDIO AFEX ( PM 250 HRS),10,MMTEDI,2,2,2,0.5,26-Jan-16,26-Jan-16,09-Feb-16,ERNESTOPEREZ,Closed,Closed,3 - Due less than 30 days,N,PM - Preventative,Required,NULL,IN-Inspection,Production,Normal,N,NULL,REVIEW,NULL,NULL,NULL,NULL,NULL,INSPECCION SEGUN CHECK LIST.,NULL,NULL
3027921,PV1-1123-TRH0403-TIR,403,TIRE SYSTEM HAULTRUCK CATERPILLAR 789C 403,MM3,INSPECCION DE LLANTAS EN MANTENIMIENTO PREVENTIVO,INSPECTION OF TIRES IN PREVENTIVE MAINTENANCE,36886,20-Jan-16,26-Jan-16,26-Jan-16,10,1/26/2016 15:00,MM9,INSPECCION DE LLANTAS EN MANTENIMIENTO PREVENTIVO,10,MMTYRE,2,2,1,1.5,26-Jan-16,26-Jan-16,09-Feb-16,ERNESTOPEREZ,Closed,Closed,3 - Due less than 30 days,Y,PM - Preventative,Required,CAT789CPV180,IN-Inspection,Production,Normal,NULL,NULL,REVIEW,NULL,NULL,NULL,NULL,NULL,INSPECCION SEGUN CHECK LIST.,NULL,NULL
3030243,PV1-1123-TRH0403-AIR,403,AIR SYSTEM HAULTRUCK CATERPILLAR 789C 403,MM3,chequear fuga de aire por la bocina,Check air leak through the horn,28666,22-Jan-16,22-Jan-16,22-Jan-16,10,1/22/2016 14:08,MM3,chequear fuga de aire por la bocina,10,MMTECH,2,2,1,0.67,22-Jan-16,22-Jan-16,08-Feb-16,EDMENA,Closed,Closed,1 - Due less than 7 days,N,CM - Corrective,Required,NULL,RP-Repair,Production,Normal,Y,NULL,REVIEW,NULL,NULL,NULL,NULL,NULL,se reparo bocina,NULL,NULL
3035720,PV1-1123-TRH0403-HYS-SS,403,STEERING SYSTEM HYDRAULIC SYSTEM HAULTRUCK CATERPILLAR 789C 403,MM3,"CAMBIAR TUBERIA SISTEMA DE DIRECCION (BACKLOG), POR FUGA EXTERNA","CHANGE PIPING SYSTEM (BACKLOG), FOR EXTERNAL LEAKAGE",32468,27-Jan-16,27-Apr-16,27-Apr-16,10,4/27/2016 17:05,MM3,"CAMBIAR TUBERIA SISTEMA DE DIRECCION (BACKLOG), POR FUGA EXTERNA",10,MMTECH,4,2,NULL,4,03-Mar-16,03-Mar-16,12-May-16,EDMENA,Closed,Closed,3 - Due less than 30 days,N,CM - Corrective,Required,NULL,RE-Replace,Production,Normal,Y,NULL,REVIEW,NULL,NULL,NULL,NULL,NULL,Revisada NB,NULL,NULL
3036374,PV1-1123-TRH0403,403,HAULTRUCK CATERPILLAR 789C 403,MM3,MANTENIMIENTO PREVENTIVO CADA 4000HRS,PREVENTIVE MAINTENANCE EVERY 4000HRS,21711,28-Jan-16,08-Mar-16,08-Mar-16,35,03-08-16 4:00,MM9,INSPECCION DE LLANTAS,35,MMTYRE,2,2,1,1.5,08-Mar-16,08-Mar-16,22-Mar-16,ERNESTOPEREZ,Closed,Closed,3 - Due less than 30 days,Y,PM - Preventative,Required,CAT789CPV007,SR-Service,Production,Normal,N,NULL,DEL COMP,NULL,NULL,NULL,NULL,NULL,"SE REALIZO INSPECCION DE LLANTAS, PSI Y CONDICIONES. SE TOMO PERIODEN.",NULL,NULL
3037336,PV1-1123-TRH0403-HYS-SS,403,STEERING SYSTEM HYDRAULIC SYSTEM HAULTRUCK CATERPILLAR 789C 403,MM3,INSPECCION Y EVALUACION DE FUGA POR BOMBA DE DIRECCION,INSPECTION AND EVALUATION OF LEAK PUMP LEAK,21455,28-Jan-16,28-Jan-16,29-Jan-16,10,1/28/2016 22:53,MM3,INSPECCION Y EVALUACION DE FUGA POR BOMBA DE DIRECCION,10,MMTECH,4,2,4,NULL,29-Jan-16,28-Jan-16,12-Feb-16,EDMENA,Closed,Closed,0 - Immediate,N,CM - Corrective,Required,NULL,IN-Inspection,Production,Normal,Y,NULL,REVIEW,NULL,NULL,NULL,NULL,NULL,Se realiz¢ inspecci¢n y evaluaci¢n de fuga hidr†ulica por tubo de succi¢n de bomba de direcci¢n. Se lav¢ equipo en evaluaci¢n de la fuga,NULL,NULL
3042898,PV1-1123-TRH0403-ELS,403,ELECTRICAL SYSTEM HAULTRUCK CATERPILLAR 789C 403,MM3,"CAMBIAR LUZ DE ALTA INTENSIDAD, LADO DERECHO.","CHANGE HIGH INTENSITY LIGHT, RIGHT SIDE.",37814,02-Feb-16,02-Feb-16,02-Feb-16,10,02-02-16 17:51,MM3,"CAMBIAR LUZ DE ALTA INTENSIDAD, LADO DERECHO.",10,MMTECH,2,2,12,-10,02-Feb-16,02-Feb-16,17-Feb-16,EDMENA,Closed,Closed,1 - Due less than 7 days,N,CM - Corrective,Required,NULL,RE-Replace,Production,Normal,Y,NULL,DEL COMP,NULL,NULL,NULL,NULL,NULL,CAMBIO DE LUCES INFERIORES DE BAJA INTENSIDAD Y CAMBIO DE LUZ DE ALTA INTENSIDAD DEL LADO DERECHO SUPERIOR.,NULL,NULL
3044856,PV1-1123-TRH0403-ACS,403,AIR CONDITIONING SYSTEM HAULTRUCK CATERPILLAR 789C 403,MM3,INSPECCION A/C EN INSP. 500 HRS,INSPECTION A / C IN INSP.†500 HRS,30796,04-Feb-16,09-Feb-16,09-Feb-16,10,02-09-16 8:43,MM12,INSPECCION A/C EN INSP. 500 HRS,10,MMTEDI,1,1,3,-1.5,09-Feb-16,09-Feb-16,23-Feb-16,EDMENA,Closed,Closed,3 - Due less than 30 days,N,PM - Preventative,Required,NULL,IN-Inspection,Production,Normal,N,NULL,REVIEW,NULL,NULL,NULL,NULL,NULL,INSPECCION SEGUN CHECK LIST.,NULL,NULL
3045046,PV1-1123-TRH0403-FIRE,403,FIRE SUPRESSION SYSTEM HAULTRUCK CATERPILLAR 789C 403,MM3,INSPECCION SISTEMA CONTRA INCENDIO AFEX ( PM 500 HRS),INSPECTION FIRE SYSTEM AFEX (PM 500 HRS),30796,04-Feb-16,09-Feb-16,09-Feb-16,10,02-09-16 10:10,MM12,CONTRA INCENDIO AFEX ( PM 500 HRS),10,MMTEDI,2,2,2,0.5,09-Feb-16,09-Feb-16,23-Feb-16,EDMENA,Closed,Closed,3 - Due less than 30 days,N,PM - Preventative,Required,NULL,IN-Inspection,Production,Normal,N,NULL,REVIEW,NULL,NULL,NULL,NULL,NULL,INSPECCION SEGUN CHECK LIST.,NULL,NULL
3045845,PV1-1123-TRH0403-TIR,403,TIRE SYSTEM HAULTRUCK CATERPILLAR 789C 403,MM3,INSPECCION DE LLANTAS EN MANTENIMIENTO PREVENTIVO,INSPECTION OF TIRES IN PREVENTIVE MAINTENANCE,36886,05-Feb-16,09-Feb-16,09-Feb-16,10,02-09-16 7:00,MM9,INSPECCION DE LLANTAS EN MANTENIMIENTO PREVENTIVO,10,MMTYRE,2,2,2,NULL,09-Feb-16,09-Feb-16,23-Feb-16,EDMENA,Closed,Closed,3 - Due less than 30 days,N,RW - Re Work,Required,CAT789CPV180,IN-Inspection,Production,Normal,NULL,NULL,REVIEW,NULL,NULL,NULL,NULL,NULL,REALIZADO,NULL,NULL
3048459,PV1-1123-TRH0403-AIR,403,AIR SYSTEM HAULTRUCK CATERPILLAR 789C 403,MM3,CAMBIO DE LA VALVULA DE DRENAJE DEBAJO DE LA CAVINA DEL AIRE DE SERVICIO,CHANGE OF DRAIN VALVE BELOW CAVINE OF SERVICE AIR,38045,08-Feb-16,01-May-16,01-May-16,10,05-01-16 13:00,MM3,CAMBIO DE LA VALVULA DE DRENAJE DEBAJO DE LA CAVINA DEL AIRE DE SERVICIO,10,MMTECH,1,2,1,NULL,01-May-16,01-May-16,20-May-16,EDMENA,Closed,Closed,3 - Due less than 30 days,Y,PM - Preventative,Not Required,NULL,RE-Replace,Production,Normal,Y,NULL,DEL COMP,NULL,NULL,NULL,NULL,NULL,CAMBIO DE LA VALVULA DE DRENAJE DEBAJO DE LA CAVINA DEL AIRE DE SERVICIO,NULL,NULL
3050633,PV1-1123-TRH0403-FRM,403,FRAME HAULTRUCK CATERPILLAR 789C 403,MM3,REPARAR ESCALERA AUXILIAR,REPAIR AUXILIARY STAIRCASE,37470,09-Feb-16,09-Feb-16,10-Feb-16,20,02-09-16 21:15,MM7,CORTAR PERNO DE LA ESCALERA,10,MMWELD,2,1,4,-2,10-Feb-16,09-Feb-16,24-Feb-16,EDMENA,Closed,Closed,1 - Due less than 7 days,N,CM - Corrective,Required,NULL,RE-Replace,Production,Normal,Y,NULL,DEL COMP,NULL,NULL,NULL,NULL,NULL,COMPLETADA.,NULL,NULL
3054645,PV1-1123-TRH0403-ACS,403,AIR CONDITIONING SYSTEM HAULTRUCK CATERPILLAR 789C 403,MM3,INSPECCION A/C EN PM 250 HRS,INSPECTION A / C IN PM 250 HRS,30796,11-Feb-16,21-Feb-16,21-Feb-16,10,2/21/2016 16:03,MM12,Realizar Inspeccion A/C en PM 250 Hrs,10,MMTEDI,2,2,1,1,21-Feb-16,21-Feb-16,07-Mar-16,ERNESTOPEREZ,Closed,Closed,3 - Due less than 30 days,N,PM - Preventative,Required,NULL,IN-Inspection,Production,Normal,N,NULL,REVIEW,NULL,NULL,NULL,NULL,NULL,INSPECCION A/C 250 HRS. LIMPIEZA DE FILTROS DE CABINA. MEDIR PRESION EN REPOSO Y FUNCION. INSPECCIONAR PARTES A/C.,NULL,NULL
3054705,PV1-1123-TRH0403-FIRE,403,FIRE SUPRESSION SYSTEM HAULTRUCK CATERPILLAR 789C 403,MM3,INSPECCION SISTEMA RED CONTRA INCENDIO AFEX ( PM 250 HRS),INSPECTION SYSTEM AFEX FIRE RED (PM 250 HRS),30796,11-Feb-16,21-Feb-16,21-Feb-16,10,2/21/2016 14:51,MM12,INSPECCION SISTEMA RED CONTRA INCENDIO AFEX ( PM 250 HRS),10,MMTEDI,2,2,3,-0.5,21-Feb-16,21-Feb-16,07-Mar-16,ERNESTOPEREZ,Closed,Closed,3 - Due less than 30 days,N,PM - Preventative,Required,NULL,IN-Inspection,Production,Normal,N,NULL,REVIEW,NULL,NULL,NULL,NULL,NULL,SE INSPECCIONO SISTEMA AFEX POR PM DE 250 HRS. SE REEMPLAZO ACTUADOR DE CABINA.,NULL,NULL
3055499,PV1-1123-TRH0403-TIR,403,TIRE SYSTEM HAULTRUCK CATERPILLAR 789C 403,MM3,INSPECCION DE LLANTAS EN MANTENIMIENTO PREVENTIVO,INSPECTION OF TIRES IN PREVENTIVE MAINTENANCE,36886,12-Feb-16,21-Feb-16,21-Feb-16,10,2/21/2016 15:00,MM9,INSPECCION DE LLANTAS EN MANTENIMIENTO PREVENTIVO,10,MMTYRE,2,2,1,1.5,21-Feb-16,21-Feb-16,07-Mar-16,ERNESTOPEREZ,Closed,Closed,3 - Due less than 30 days,Y,PM - Preventative,Required,CAT789CPV180,IN-Inspection,Production,Normal,N,NULL,REVIEW,NULL,NULL,NULL,NULL,NULL,SE INSPECCIONARON TODAS LAS LLANTAS EN PM Y SE LE REALIZARON AURETORIA PERIDICA DE PROFUNDIDAD Y PERIODEN.,NULL,NULL
3061637,PV1-1123-TRH0403-ELS,403,ELECTRICAL SYSTEM HAULTRUCK CATERPILLAR 789C 403,MM3,Revisar el funcionamiento de los tableros indicadores de carga £til.,Check the operation of the load indicator panels.,19913,17-Feb-16,08-Mar-16,08-Mar-16,10,03-08-16 7:16,MM3,Revisar el funcionamiento de los tableros indicadores de carga £til.,10,MMTECH,2,1,2,NULL,08-Mar-16,08-Mar-16,28-Mar-16,ERNESTOPEREZ,Closed,Closed,2 - Due less than 14 days,N,CM - Corrective,Required,NULL,IN-Inspection,Production,Normal,N,NULL,REVIEW,NULL,NULL,NULL,NULL,NULL,realizado,NULL,NULL
3063949,PV1-1123-TRH0403-ENG,403,ENGINE HAULTRUCK CATERPILLAR 789C 403,MM3,INSPECCIONAR HUMO EXTRA•O.,INSPECT SMOKE EXTRA • O.,37814,18-Feb-16,18-Feb-16,18-Feb-16,10,2/18/2016 22:46,MM3,INSPECCIONAR HUMO EXTRA•O.,10,MMTECH,2,2,2,NULL,18-Feb-16,18-Feb-16,03-Mar-16,ERNESTOPEREZ,Closed,Closed,1 - Due less than 7 days,N,CM - Corrective,Required,NULL,IN-Inspection,Production,Normal,Y,NULL,REVIEW,NULL,NULL,NULL,NULL,NULL,FUE INSPECCIONADO ESCAPE DE HUMO ANORMAL. NO SE ENCONTRO NINGUNA ANOMALIA. SE SUMINISTRO AIRE DE ENCENDIDO.,NULL,NULL
3064701,PV1-1123-TRH0403-ENG,403,ENGINE HAULTRUCK CATERPILLAR 789C 403,MM3,CORREGIR FALLA DE BAJA POTENCIA DEL MOTOR + AJUSTAR GUARDA LODO.,CORRECTION LOW ENGINE POWER FAILURE + ADJUST LODGE GUARD.,37814,20-Feb-16,20-Feb-16,20-Feb-16,10,2/20/2016 0:46,MM3,CORREGIR FALLA DE BAJA POTENCIA DEL MOTOR + AJUSTAR GUARDA LODO.,10,MMTECH,2,2,15,-13,20-Feb-16,19-Feb-16,04-Mar-16,ERNESTOPEREZ,Closed,Closed,1 - Due less than 7 days,N,CM - Corrective,Required,NULL,RP-Repair,Production,Normal,Y,NULL,REVIEW,NULL,NULL,NULL,NULL,NULL,SE CORRIGIO FUGA POR AVERIA DE COMBUSTIBLE Y SE INSTALO TORNILLO DEL GUARDA LODO IZQUIERDO TRASERO.,NULL,NULL
3067721,PV1-1123-TRH0403-DTS-WHL-FRR,403,WHEEL GROUP FRONT RIGHT DRIVETRAIN SYSTEM HAULTRUCK CATERPILLAR 789C 403,MM3, INSPECCIONAR TAPON MAGNETICO. TOMAR FOTOS Y ENVIAR AL PERSONAL DE MONITOREO.( TAREA AGREGADA A PM OTIMATION),INSPECT MAGNETIC CAP.†TAKING PHOTOS AND SUBMITTING MONITORING PERSONNEL (TASK ADDED TO PM OPTIMATION),27046,23-Feb-16,08-Mar-16,08-Mar-16,10,03-08-16 8:08,MM3, INSPECCIONAR TAPON MAGNETICO. TOMAR FOTOS Y ENVIAR AL PERSONAL DE MONITOREO.,10,MMTECH,1,1,NULL,0.5,NULL,NULL,29-Mar-16,KHOLGUIN,Cancelled,Cancelled,2 - Due less than 14 days,N,PM - Preventative,Required,NULL,PDM-Predictive,Production,Normal,Y,NULL,REVIEW,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3071964,PV1-1123-TRH0403-ENG,403,ENGINE HAULTRUCK CATERPILLAR 789C 403,MM3,EVALUAR BAJA POTENCIA DEL MOTOR,EVALUATE LOW ENGINE POWER,37470,25-Feb-16,25-Feb-16,25-Feb-16,10,2/25/2016 22:49,MM3,EVALUAR BAJA POTENCIA DEL MOTOR,10,MMTECH,2,2,2,NULL,25-Feb-16,25-Feb-16,11-Mar-16,EDMENA,Closed,Closed,1 - Due less than 7 days,N,CM - Corrective,Required,NULL,IN-Inspection,Production,Normal,Y,NULL,REVIEW,NULL,NULL,NULL,NULL,NULL,Completada por autorizaci¢n del supervisor Rafael Nu§ez,NULL,NULL
3073163,PV1-1123-TRH0403-ENG-STR,403,STARTER ENGINE HAULTRUCK CATERPILLAR 789C 403,MM3,ENCENDER EQUIPO. SE APAGO EN CORRIDA.,IGNITION EQUIPMENT.†SHUT OFF.,37814,27-Feb-16,27-Feb-16,27-Feb-16,10,2/27/2016 4:34,MM3,ENCENDER EQUIPO. SE APAGO EN CORRIDA.,10,MMTECH,6,2,3,3.5,27-Feb-16,27-Feb-16,14-Mar-16,EDMENA,Closed,Closed,1 - Due less than 7 days,N,CM - Corrective,Required,NULL,RP-Repair,Production,Normal,Y,NULL,REVIEW,NULL,NULL,NULL,NULL,NULL,INSPECCION DEL EQUIPO Y TODO ESTABA NORMAL.,NULL,NULL
3073738,PV1-1123-TRH0403-ENG,403,ENGINE HAULTRUCK CATERPILLAR 789C 403,MM3,PERDIDA DE POTENCIA.,POWER LOSS.,37814,28-Feb-16,28-Feb-16,28-Feb-16,10,2/28/2016 7:43,MM3,PERDIDA DE POTENCIA.,10,MMTECH,2,2,4,-2,28-Feb-16,28-Feb-16,14-Mar-16,EDMENA,Closed,Closed,1 - Due less than 7 days,N,CM - Corrective,Required,NULL,RP-Repair,Production,Normal,Y,NULL,REVIEW,NULL,NULL,NULL,NULL,NULL,COMPLETADA.,NULL,NULL
3073958,PV1-1123-TRH0403-DTS-TRA,403,TRANSMISSION DRIVETRAIN SYSTEM HAULTRUCK CATERPILLAR 789C 403,MM3,CAMBIO DE FILTRO DE TRANSMISION.,TRANSMISSION FILTER CHANGE.,37815,28-Feb-16,28-Feb-16,28-Feb-16,10,2/28/2016 17:23,MM3,CAMBIO DE FILTRO DE TRANSMISION.,10,MMTECH,2,2,2,NULL,28-Feb-16,28-Feb-16,22-Apr-16,EDMENA,Closed,Closed,0 - Immediate,N,CM - Corrective,Required,NULL,RP-Repair,Production,Normal,Y,NULL,DEL COMP,NULL,NULL,NULL,NULL,NULL,realizado (sin documentos autorizado por supervisor completar),NULL,NULL
